date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty,accum_dist,atr,cmo,cmf,cci,ema_fast,ema_slow,hma_fast,hma_slow,mfi,obv,sma,percent_k,percent_d,smoothed_ma,true_range,ulti_osc,volatility,rsi,williams,trend,trend_nextday
2013-04-15 21:00:00,150.721,147.825,151.726,147.171,150.857,147.892,151.765,147.211,146823,4015305.279048153,7.747827867071561,9.314819406562613,0.3328400271585833,-5.500136923177957,150.63133852222302,149.6123779428008,148.94812698412701,152.86496666666667,76.79054488694946,2429282.0,150.63619999999997,0.17042189626493418,0.5942996729625591,147.93704622750352,-61.260311994037686,13.426903867254847,0.4804091378332467,-0.39474503384509774,-61.260311994037686,1,0.0
2013-04-16 21:00:00,147.825,149.83,150.285,146.417,147.892,149.895,150.314,146.48,141171,4125620.4371076226,7.5216450803644035,1.9569296756324053,0.3044846904182723,-7.407602030523052,150.3817070507854,149.7870462764206,148.2024880952381,151.60040238095237,63.77875161741957,2570453.0,150.9492,0.36511119212541343,0.4449761099652929,148.13284160475317,-58.68648968158104,17.28812082020806,0.6178087234282784,12.699575515379493,-58.68648968158104,0,1.0
2013-04-17 21:00:00,149.83,149.553,151.16,148.099,149.895,149.591,151.184,148.132,141564,4119404.979702643,7.318080572327961,-7.710910612966041,0.17741890277421404,-4.903666608855669,150.10161534126928,149.91774361472164,148.5965357142857,150.50894920634923,63.91229683481627,2428889.0,150.94070000000002,0.309697411593149,0.2817434999944989,148.27865744427785,-59.07712472051604,19.053150187162075,0.6149085510969738,10.50869927684785,-59.07712472051604,1,1.0
2013-04-18 21:00:00,149.553,149.96,150.475,148.722,149.591,149.987,150.503,148.757,126022,4170939.7494620937,7.134872515095164,-16.14844533600821,0.20377252736101922,-4.261953190196202,149.95627118405298,150.11117014606566,149.44870238095237,149.78653333333335,63.78215445345746,2554911.0,150.8974,0.3818811520233326,0.3522299185806317,148.44949169985009,-58.56827118295599,20.75886084119838,0.6070573377869222,12.86387603338919,-58.56827118295599,1,1.0
2013-04-19 21:00:00,149.96,151.56,152.515,149.864,149.987,151.637,152.541,149.895,116494,4207833.918774263,6.969985263585647,-0.8183876022983995,0.16156745592009628,2.0607376648953175,150.30940459251954,150.5396526487353,150.80236111111114,149.65247619047622,67.89710159585252,2671405.0,150.9014,0.6826467371491088,0.4580751002551968,148.76824252986506,-56.448048109789006,23.375415701380827,0.6063451013029179,20.898762933342326,-56.448048109789006,1,0.0
2013-04-21 21:00:00,151.56,151.982,152.004,151.56,151.637,152.136,152.165,151.637,385,4208176.627107596,6.821586737227081,-8.23441443125527,0.15096346600698873,4.361276973186875,150.80868584912304,150.8641451752837,152.12060714285715,150.0872253968254,67.86944238463313,2671790.0,150.9419,0.7736055413780546,0.6127111435168321,149.10501827687855,-55.80684125311609,22.100533202226686,0.5964425596371775,22.87113528868592,-55.80684125311609,0,0.0
2013-04-22 21:00:00,151.982,151.707,152.227,150.883,152.136,151.763,152.266,150.909,102880,4234787.445088438,6.688028063504371,-15.077957240220178,0.07944143917119247,3.379646703574693,151.08215594843983,151.0273746573978,152.623623015873,150.72741111111114,64.02384447112401,2568910.0,150.81649999999996,0.7056142909223507,0.7206221898165047,149.37081644919067,-56.286140166019884,21.588826078480775,0.6468458589728863,20.056557623105647,-56.286140166019884,0,1.0
2013-04-23 21:00:00,151.707,151.577,152.018,149.959,151.763,151.599,152.042,149.983,125198,4306111.99778392,6.443625257153934,6.685432793807091,0.11308298821294673,2.4323114984746415,151.3541296752835,151.1280990750477,152.30869444444443,151.32862063492067,53.3952280698221,2443712.0,150.63859999999997,0.8734684260131936,0.7842294194378664,149.59363480427157,-56.496877489655894,25.128306198491263,0.7683582258333762,18.681547980105293,-56.496877489655894,1,1.0
2013-04-24 21:00:00,151.577,151.887,152.291,151.085,151.599,151.932,152.316,151.115,101044,4342541.683046198,6.22366273143854,12.374812938874031,0.22402308515446578,4.707789028853903,151.57704550257097,151.242249462392,152.0294246031746,151.80166349206348,64.68926210218982,2544756.0,150.72889999999998,0.9519321394910444,0.8436716188088629,149.8274713238444,-56.06897792398038,21.921824763382954,0.7344762182705245,20.511129456064538,-56.06897792398038,1,0.0
2013-04-25 21:00:00,151.887,153.14,153.761,151.415,151.932,153.192,153.79,151.44,105447,4394322.890705775,6.131296458294687,75.90948152391852,0.24941203092983846,7.934163174878261,152.11946460519826,151.53258579993184,152.60559126984126,152.3732373015873,75.04634544077967,2650203.0,150.96239999999997,1.0,0.9418001885014128,150.16392419145996,-54.449898486289214,24.329416188303664,0.6368762984009725,26.325643800919863,-54.449898486289214,0,0.0
